The copyright to the intellectual property of this file is held by www.climatedata.info
Title,"Temperature, CO2 and Milankovitch cycles - EPICA",,
Source,http://www.ncdc.noaa.gov/paleo/indexice.html,,
Source,http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/,,
BP,Temperature,CO2,Milankovich
-802000,,,
-801900,,,
-801800,,,
-801700,-8.82,,
-801600,-8.83,,
-801500,-8.84,,
-801400,-8.849,,
-801300,-8.858,,
-801200,-8.868,,
-801100,-8.877,,
-801000,-8.886,,
-800900,-8.896,,
-800800,-8.905,,
-800700,-8.914,,
-800600,-8.92,,
-800500,-8.915,,
-800400,-8.911,,
-800300,-8.908,,
-800200,-8.904,,
-800100,-8.9,,
-800000,-8.897,,
-799900,-8.893,,484.78
-799800,-8.889,,484.49
-799700,-8.885,,484.2
-799600,-8.88,,483.91
-799500,-8.864,,483.62
-799400,-8.831,,483.33
-799300,-8.799,,483.04
-799200,-8.767,,482.75
-799100,-8.735,,482.46
-799000,-8.703,,482.17
-798900,-8.671,,481.88
-798800,-8.639,,481.81
-798700,-8.607,,481.73
-798600,-8.574,,481.66
-798500,-8.54,191,481.59
-798400,-8.557,190.794,481.52
-798300,-8.575,190.61,481.44
-798200,-8.594,190.426,481.37
-798100,-8.612,190.242,481.3
-798000,-8.631,190.058,481.22
-797900,-8.649,189.874,481.15
-797800,-8.667,189.69,481.32
-797700,-8.686,189.506,481.49
-797600,-8.704,189.322,481.66
-797500,-8.73,189.138,481.83
-797400,-8.718,188.954,482
-797300,-8.697,188.77,482.17
-797200,-8.676,188.586,482.34
-797100,-8.655,188.4,482.51
-797000,-8.634,188.541,482.68
-796900,-8.614,188.683,482.85
-796800,-8.593,188.826,483.23
-796700,-8.572,188.968,483.62
-796600,-8.551,189.111,484.01
-796500,-8.53,189.3,484.4
-796400,-8.497,189.613,484.78
-796300,-8.463,190.079,485.17
-796200,-8.43,190.545,485.56
-796100,-8.396,191.012,485.95
-796000,-8.362,191.478,486.33
-795900,-8.329,191.945,486.72
-795800,-8.295,192.411,487.33
-795700,-8.262,192.877,487.93
-795600,-8.23,193.344,488.54
-795500,-8.117,193.81,489.14
-795400,-8.011,194.277,489.75
-795300,-7.905,194.743,490.35
-795200,-7.799,195.2,490.96
-795100,-7.693,195.921,491.56
-795000,-7.587,196.628,492.17
-794900,-7.481,197.335,492.78
-794800,-7.33,198.042,493.55
-794700,-7.273,198.75,494.33
-794600,-7.174,199.4,495.1
-794500,-7.076,200.169,495.87
-794400,-6.977,200.881,496.65
-794300,-6.879,201.594,497.42
-794200,-6.78,202.306,498.2
-794100,-6.681,203.018,498.97
-794000,-6.583,203.73,499.75
-793900,-6.51,204.442,500.52
-793800,-6.415,205.154,501.44
-793700,-6.34,205.867,502.36
-793600,-6.265,206.579,503.28
-793500,-6.189,207.291,504.2
-793400,-6.114,208.003,505.12
-793300,-6.039,209,506.05
-793200,-5.963,208.054,506.97
-793100,-5.91,206.476,507.89
-793000,-5.858,204.899,508.81
-792900,-5.818,204,509.73
-792800,-5.778,204.183,510.65
-792700,-5.738,204.31,511.57
-792600,-5.698,204.438,512.49
-792500,-5.658,204.565,513.41
-792400,-5.61,204.693,514.33
-792300,-5.546,204.821,515.25
-792200,-5.468,204.948,516.17
-792100,-5.389,205.1,517.09
-792000,-5.311,206.514,518.01
-791900,-5.232,208.26,518.93
-791800,-5.154,210.006,519.8
-791700,-5.05,211.751,520.67
-791600,-4.972,213.497,521.54
-791500,-4.858,215.4,522.41
-791400,-4.743,215.963,523.29
-791300,-4.629,216.583,524.16
-791200,-4.514,217.202,525.03
-791100,-4.399,217.821,525.9
-791000,-4.27,218.44,526.77
-790900,-4.194,219.059,527.64
-790800,-4.107,219.678,528.37
-790700,-4.02,220.297,529.1
-790600,-3.933,220.916,529.82
-790500,-3.846,221.3,530.55
-790400,-3.759,220.189,531.28
-790300,-3.7,219.384,532
-790200,-3.576,218.2,532.73
-790100,-3.481,218.756,533.46
-790000,-3.387,219.805,534.18
-789900,-3.293,220.855,534.91
-789800,-3.198,221.904,535.44
-789700,-3.09,222.953,535.97
-789600,-3.021,224.002,536.51
-789500,-2.94,225.051,537.04
-789400,-2.859,226.3,537.57
-789300,-2.778,226.825,538.11
-789200,-2.696,227.473,538.64
-789100,-2.59,228.12,539.17
-789000,-2.564,228.768,539.7
-788900,-2.526,229.5,540.24
-788800,-2.487,231.375,540.48
-788700,-2.449,233.529,540.72
-788600,-2.411,235.684,540.96
-788500,-2.37,237.838,541.21
-788400,-2.268,239.993,541.45
-788300,-2.156,242.147,541.69
-788200,-2.045,244.302,541.93
-788100,-1.934,246.456,542.17
-788000,-1.822,247.9,542.42
-787900,-1.75,248.017,542.66
-787800,-1.472,248.1,542.68
-787700,-1.266,249.368,542.71
-787600,-1.059,250.575,542.73
-787500,-0.853,251.782,542.76
-787400,-0.647,252.989,542.78
-787300,-0.54,254.196,542.8
-787200,-0.563,255.403,542.83
-787100,-0.578,256.9,542.85
-787000,-0.593,257.428,542.88
-786900,-0.608,258.124,542.9
-786800,-0.63,258.819,542.59
-786700,-0.668,259.514,542.27
-786600,-0.736,260.3,541.96
-786500,-0.805,259.766,541.64
-786400,-0.873,259.152,541.33
-786300,-0.941,258.538,541.01
-786200,-1.04,257.924,540.7
-786100,-1.041,257.31,540.38
-786000,-1.042,256.696,540.07
-785900,-1.044,256.082,539.75
-785800,-1.046,255.4,539.2
-785700,-1.047,254.903,538.64
-785600,-1.049,254.344,538.08
-785500,-1.05,253.786,537.52
-785400,-1.069,253.3,536.97
-785300,-1.084,252.893,536.41
-785200,-1.1,252.532,535.85
-785100,-1.116,252.171,535.3
-785000,-1.131,251.811,534.74
-784900,-1.15,251.45,534.18
-784800,-1.218,251.09,533.43
-784700,-1.303,250.7,532.68
-784600,-1.389,250.059,531.93
-784500,-1.474,249.361,531.18
-784400,-1.559,248.664,530.43
-784300,-1.644,247.967,529.68
-784200,-1.71,247.27,528.93
-784100,-1.708,246.9,528.18
-784000,-1.707,247.765,527.43
-783900,-1.705,248.353,526.68
-783800,-1.703,248.941,525.8
-783700,-1.702,249.529,524.93
-783600,-1.7,250.118,524.06
-783500,-1.739,250.706,523.19
-783400,-1.79,251.294,522.32
-783300,-1.841,252.1,521.45
-783200,-1.891,251.791,520.57
-783100,-1.942,251.301,519.7
-783000,-1.992,250.811,518.83
-782900,-2.04,250.321,517.96
-782800,-2.009,249.831,517.01
-782700,-1.979,249.341,516.07
-782600,-1.949,248.851,515.13
-782500,-1.92,248.361,514.18
-782400,-1.89,247.871,513.24
-782300,-1.861,247.381,512.29
-782200,-1.84,246.891,511.35
-782100,-1.927,246.2,510.4
-782000,-1.993,246.482,509.46
-781900,-2.06,246.959,508.52
-781800,-2.126,247.436,507.64
-781700,-2.193,247.913,506.77
-781600,-2.28,248.39,505.9
-781500,-2.289,248.7,505.03
-781400,-2.303,247.837,504.16
-781300,-2.317,247.198,503.28
-781200,-2.331,246.559,502.41
-781100,-2.344,245.919,501.54
-781000,-2.358,245.28,500.67
-780900,-2.37,244.641,499.8
-780800,-2.335,244.002,499.02
-780700,-2.305,243.363,498.25
-780600,-2.274,242.8,497.47
-780500,-2.244,244.656,496.7
-780400,-2.213,246.313,495.92
-780300,-2.17,248.5,495.15
-780200,-2.166,248.154,494.37
-780100,-2.16,247.645,493.6
-780000,-2.154,247.136,492.82
-779900,-2.148,246.627,492.05
-779800,-2.142,246.119,491.42
-779700,-2.136,245.61,490.79
-779600,-2.13,245.101,490.16
-779500,-2.136,244.592,489.53
-779400,-2.142,243.9,488.9
-779300,-2.148,244.115,488.27
-779200,-2.154,244.451,487.64
-779100,-2.16,244.786,487.01
-779000,-2.165,245.122,486.38
-778900,-2.17,245.458,485.75
-778800,-2.201,245.8,485.34
-778700,-2.226,245.833,484.93
-778600,-2.252,245.866,484.52
-778500,-2.277,245.9,484.11
-778400,-2.302,245.933,483.69
-778300,-2.34,245.966,483.28
-778200,-2.365,246,482.87
-778100,-2.415,246.033,482.46
-778000,-2.465,246.067,482.05
-777900,-2.514,246.1,481.64
-777800,-2.564,246.158,481.42
-777700,-2.613,246.216,481.2
-777600,-2.67,246.3,480.98
-777500,-2.674,246.154,480.76
-777400,-2.678,245.893,480.55
-777300,-2.683,245.632,480.33
-777200,-2.687,245.371,480.11
-777100,-2.692,245.11,479.89
-777000,-2.696,244.85,479.67
-776900,-2.7,244.589,479.46
-776800,-2.698,244.328,479.48
-776700,-2.697,244.067,479.51
-776600,-2.696,243.9,479.53
-776500,-2.694,242.742,479.55
-776400,-2.693,241.891,479.58
-776300,-2.691,241.039,479.6
-776200,-2.69,240.188,479.63
-776100,-2.731,239.336,479.65
-776000,-2.769,238.8,479.67
-775900,-2.806,239.036,479.7
-775800,-2.844,239.209,479.92
-775700,-2.882,239.381,480.14
-775600,-2.919,239.554,480.35
-775500,-2.96,239.726,480.57
-775400,-3.023,239.898,480.79
